
===== alphabet {a, backslash}  (alphabet size 2, len<=3) =====
  a        b        la lb  c  ->live
  aa\      \aa       3  3  0  -> 0
  aa\      a\a       3  3  1  -> 0
  aa\      \\a       3  3  0  -> 0
  aa\      aa\       3  3  3  -> 3
  aa\      \a\       3  3  0  -> 0
  aa\      a\\       3  3  1  -> 0
  aa\      \\\       3  3  0  -> 0
  \a\                3  0  0  -> 0
  \a\      a         3  1  0  -> 0
  \a\      \         3  1  1  -> 0
  \a\      aa        3  2  0  -> 0
  \a\      \a        3  2  2  -> 3
  \a\      a\        3  2  0  -> 0
  \a\      \\        3  2  1  -> 0
  \a\      aaa       3  3  0  -> 0
  \a\      \aa       3  3  2  -> 0
  \a\      a\a       3  3  0  -> 0
  \a\      \\a       3  3  1  -> 0
  \a\      aa\       3  3  0  -> 0
  \a\      \a\       3  3  3  -> 3
  \a\      a\\       3  3  0  -> 0
  \a\      \\\       3  3  1  -> 0
  a\\                3  0  0  -> 0
  a\\      a         3  1  1  -> 1
  a\\      \         3  1  0  -> 0
  a\\      aa        3  2  1  -> 0
  a\\      \a        3  2  0  -> 0
  a\\      a\        3  2  2  -> 3
  a\\      \\        3  2  0  -> 0
  a\\      aaa       3  3  1  -> 0
  a\\      \aa       3  3  0  -> 0
  a\\      a\a       3  3  2  -> 1
  a\\      \\a       3  3  0  -> 0
  a\\      aa\       3  3  1  -> 0
  a\\      \a\       3  3  0  -> 0
  a\\      a\\       3  3  3  -> 3
  a\\      \\\       3  3  0  -> 0
  \\\                3  0  0  -> 0
  \\\      a         3  1  0  -> 0
  \\\      \         3  1  1  -> 0
  \\\      aa        3  2  0  -> 0
  \\\      \a        3  2  1  -> 0
  \\\      a\        3  2  0  -> 0
  \\\      \\        3  2  2  -> 3
  \\\      aaa       3  3  0  -> 0
  \\\      \aa       3  3  1  -> 0
  \\\      a\a       3  3  0  -> 0
  \\\      \\a       3  3  2  -> 0
  \\\      aa\       3  3  0  -> 0
  \\\      \a\       3  3  1  -> 0
  \\\      a\\       3  3  0  -> 0
  \\\      \\\       3  3  3  -> 3
